Sku;Name;Description;Price;Stock;IsActive
SKU-001;Keyboard Mechanical;Switch linear 87 keys;499000;25;TRUE
SKU-002;Mouse Gaming;RGB 16000 DPI;199000;40;TRUE
SKU-003;Headset;Surround 7.1;299000;15;TRUE
SKU-004;Webcam;1080p autofocus;359000;12;TRUE
SKU-005;USB Hub;4 port USB 3.0;99000;60;TRUE
SKU-006;SSD 512GB;NVMe Gen3;599000;18;TRUE
SKU-007;SSD 1TB;NVMe Gen4;999000;10;TRUE
SKU-008;RAM 16GB;DDR4 3200MHz;489000;22;TRUE
SKU-009;RAM 32GB;DDR4 3200MHz;899000;14;TRUE
SKU-010;Monitor 24 Inch;IPS 75Hz;1799000;8;TRUE
SKU-011;Monitor 27 Inch;IPS 144Hz;3299000;6;TRUE
SKU-012;Speaker;2.0 stereo compact;149000;35;TRUE
SKU-013;Microphone;USB condenser;399000;9;TRUE
SKU-014;Laptop Stand;Aluminium adjustable;129000;50;TRUE
SKU-015;Cooling Pad;5 fan silent;169000;28;TRUE
SKU-016;Power Bank 20000mAh;Fast charge 22.5W;249000;33;TRUE
SKU-017;Charger 65W;USB-C PD GaN;289000;20;TRUE
SKU-018;Cable USB-C;1.5m braided;59000;80;TRUE
SKU-019;External HDD 2TB;USB 3.0 portable;899000;11;TRUE
SKU-020;Flashdisk 128GB;USB 3.2;129000;55;TRUE
